Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
29.09.2007,Birmingham,Manchester United,0:01,A,6.91,3.85,1.5
29.09.2007,Chelsea,Fulham,0:00,D,1.31,4.78,9.66
29.09.2007,Derby,Bolton,1:01,D,2.82,3.21,2.44
29.09.2007,Manchester City,Newcastle,3:01,H,2.17,3.2,3.31
29.09.2007,Portsmouth,Reading,7:04,H,1.76,3.42,4.75
29.09.2007,Sunderland,Blackburn,1:02,A,2.75,3.2,2.5
29.09.2007,West Ham,Arsenal,0:01,A,4.54,3.47,1.78
29.09.2007,Wigan,Liverpool,0:01,A,6.49,3.74,1.53
23.09.2007,Aston Villa,Everton,2:00,H,2.06,3.22,3.56
23.09.2007,Blackburn,Portsmouth,0:01,A,1.93,3.25,4.02
23.09.2007,Bolton,Tottenham,1:01,D,2.92,3.22,2.39
23.09.2007,Manchester United,Chelsea,2:00,H,1.94,3.19,4.18
23.09.2007,Newcastle,West Ham,3:01,H,2.03,3.29,3.66
22.09.2007,Arsenal,Derby,5:00,H,1.15,6.48,19.39
22.09.2007,Fulham,Manchester City,3:03,D,2.54,3.18,2.74
22.09.2007,Liverpool,Birmingham,0:00,D,1.21,5.64,14.83
22.09.2007,Middlesbrough,Sunderland,2:02,D,2.03,3.25,3.66
22.09.2007,Reading,Wigan,2:01,H,2.01,3.27,3.72
17.09.2007,Derby,Newcastle,1:00,H,4.76,3.45,1.75
16.09.2007,Manchester City,Aston Villa,1:00,H,2.4,3.07,3.03
15.09.2007,Birmingham,Bolton,1:00,H,2.67,3.17,2.63
15.09.2007,Chelsea,Blackburn,0:00,D,1.45,4.01,7.44
15.09.2007,Everton,Manchester United,0:01,A,4.68,3.44,1.76
15.09.2007,Portsmouth,Liverpool,0:00,D,4.95,3.44,1.73
15.09.2007,Sunderland,Reading,2:01,H,2.26,3.25,3.1
15.09.2007,Tottenham,Arsenal,1:03,A,2.8,3.16,2.52
