"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","bet.money"
"2001-09-16","Aston Villa","Sunderland","Charlton","Leeds","D","H",3.2,3.3,10.56,0,0
"2001-09-16","Aston Villa","Sunderland","Charlton","Leeds","A","H",4.09,3.3,13.497,0,0
"2001-09-16","Aston Villa","Sunderland","Charlton","Leeds","D","D",3.2,3.25,10.4,0,0
"2001-09-16","Aston Villa","Sunderland","Charlton","Leeds","A","D",4.09,3.25,13.2925,0,0
"2001-09-16","Aston Villa","Sunderland","Charlton","Leeds","A","A",4.09,2.25,9.2025,0,0
"2001-09-16","Aston Villa","Sunderland","Ipswich","Blackburn","D","D",3.2,3.2,10.24,0,0
"2001-09-16","Aston Villa","Sunderland","Ipswich","Blackburn","A","D",4.09,3.2,13.088,0,0
"2001-09-16","Aston Villa","Sunderland","Ipswich","Blackburn","D","A",3.2,4.09,13.088,1,0
"2001-09-16","Aston Villa","Sunderland","Ipswich","Blackburn","A","A",4.09,4.09,16.7281,0,0
"2001-09-16","Aston Villa","Sunderland","Tottenham","Chelsea","A","H",4.09,2.7,11.043,0,0
"2001-09-16","Aston Villa","Sunderland","Tottenham","Chelsea","D","D",3.2,2.9,9.28,0,0
"2001-09-16","Aston Villa","Sunderland","Tottenham","Chelsea","A","D",4.09,2.9,11.861,0,0
"2001-09-16","Aston Villa","Sunderland","Tottenham","Chelsea","A","A",4.09,2.6,10.634,0,0
"2001-09-16","Charlton","Leeds","Ipswich","Blackburn","H","D",3.3,3.2,10.56,0,0
"2001-09-16","Charlton","Leeds","Ipswich","Blackburn","D","D",3.25,3.2,10.4,0,0
"2001-09-16","Charlton","Leeds","Ipswich","Blackburn","H","A",3.3,4.09,13.497,0,0
"2001-09-16","Charlton","Leeds","Ipswich","Blackburn","D","A",3.25,4.09,13.2925,1,0
"2001-09-16","Charlton","Leeds","Ipswich","Blackburn","A","A",2.25,4.09,9.2025,0,0
"2001-09-16","Charlton","Leeds","Tottenham","Chelsea","H","H",3.3,2.7,8.91,0,0
"2001-09-16","Charlton","Leeds","Tottenham","Chelsea","D","H",3.25,2.7,8.775,0,0
"2001-09-16","Charlton","Leeds","Tottenham","Chelsea","H","D",3.3,2.9,9.57,0,0
"2001-09-16","Charlton","Leeds","Tottenham","Chelsea","D","D",3.25,2.9,9.425,0,0
"2001-09-16","Ipswich","Blackburn","Tottenham","Chelsea","A","H",4.09,2.7,11.043,0,0
"2001-09-16","Ipswich","Blackburn","Tottenham","Chelsea","D","D",3.2,2.9,9.28,0,0
"2001-09-16","Ipswich","Blackburn","Tottenham","Chelsea","A","D",4.09,2.9,11.861,0,0
"2001-09-16","Ipswich","Blackburn","Tottenham","Chelsea","A","A",4.09,2.6,10.634,0,0
"2001-09-19","Blackburn","Bolton","Sunderland","Tottenham","D","D",3.2,3.15,10.08,0,0
"2001-09-19","Blackburn","Bolton","Sunderland","Tottenham","A","D",3.7,3.15,11.655,0,0
"2001-09-19","Blackburn","Bolton","Sunderland","Tottenham","D","A",3.2,3.8,12.16,1,0
"2001-09-19","Blackburn","Bolton","Sunderland","Tottenham","A","A",3.7,3.8,14.06,0,0
"2001-09-22","Arsenal","Bolton","Blackburn","Everton","D","H",4.59,2.04,9.3636,1,0
"2001-09-22","Arsenal","Bolton","Blackburn","Everton","A","H",7.5,2.04,15.3,0,0
"2001-09-22","Arsenal","Bolton","Blackburn","Everton","D","D",4.59,3.2,14.688,0,0
"2001-09-22","Arsenal","Bolton","Blackburn","Everton","D","A",4.59,3.8,17.442,0,0
"2001-09-22","Arsenal","Bolton","Leicester","Fulham","D","H",4.59,2.5,11.475,1,0
"2001-09-22","Arsenal","Bolton","Leicester","Fulham","A","H",7.5,2.5,18.75,0,0
"2001-09-22","Arsenal","Bolton","Leicester","Fulham","D","D",4.59,3.1,14.229,0,0
"2001-09-22","Arsenal","Bolton","Leicester","Fulham","D","A",4.59,2.6,11.934,0,0
"2001-09-22","Arsenal","Bolton","Leicester","Fulham","A","A",7.5,2.6,19.5,0,0
"2001-09-22","Arsenal","Bolton","Liverpool","Tottenham","A","H",7.5,1.53,11.475,0,0
"2001-09-22","Arsenal","Bolton","Liverpool","Tottenham","D","D",4.59,3.9,17.901,0,0
"2001-09-22","Arsenal","Bolton","Liverpool","Tottenham","H","A",1.47,6,8.82,0,0
"2001-09-22","Arsenal","Bolton","Manchester United","Ipswich","A","H",7.5,1.37,10.275,0,0
"2001-09-22","Arsenal","Bolton","Manchester United","Ipswich","D","D",4.59,4.8,22.032,0,0
"2001-09-22","Arsenal","Bolton","Manchester United","Ipswich","H","A",1.47,8,11.76,0,0
"2001-09-22","Arsenal","Bolton","Sunderland","Charlton","A","H",7.5,1.79,13.425,0,0
"2001-09-22","Arsenal","Bolton","Sunderland","Charlton","D","D",4.59,3.7,16.983,0,0
"2001-09-22","Arsenal","Bolton","Sunderland","Charlton","D","A",4.59,4.75,21.8025,0,0
"2001-09-22","Blackburn","Everton","Leicester","Fulham","A","H",3.8,2.5,9.5,0,0
"2001-09-22","Blackburn","Everton","Leicester","Fulham","D","D",3.2,3.1,9.92,0,0
"2001-09-22","Blackburn","Everton","Leicester","Fulham","A","D",3.8,3.1,11.78,0,0
"2001-09-22","Blackburn","Everton","Leicester","Fulham","A","A",3.8,2.6,9.88,0,0
"2001-09-22","Blackburn","Everton","Liverpool","Tottenham","D","D",3.2,3.9,12.48,0,0
"2001-09-22","Blackburn","Everton","Liverpool","Tottenham","A","D",3.8,3.9,14.82,0,0
