Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
06.10.2012,Wigan,Everton,2:02,D,3.75,3.35,2.02
01.10.2012,QPR,West Ham,1:02,A,2.33,3.32,3.05
30.09.2012,Aston Villa,West Brom,1:01,D,2.47,3.27,2.88
29.09.2012,Arsenal,Chelsea,1:02,A,2.18,3.31,3.38
29.09.2012,Everton,Southampton,3:01,H,1.4,4.58,7.98
29.09.2012,Fulham,Manchester City,1:02,A,4.53,3.6,1.78
29.09.2012,Manchester United,Tottenham,2:03,A,1.54,4.1,6.12
29.09.2012,Norwich,Liverpool,2:05,A,4.58,3.62,1.78
29.09.2012,Reading,Newcastle,2:02,D,2.7,3.27,2.6
29.09.2012,Stoke,Swansea,2:00,H,1.94,3.38,4.03
29.09.2012,Sunderland,Wigan,1:00,H,2.11,3.28,3.56
23.09.2012,Liverpool,Manchester United,1:02,A,2.7,3.19,2.69
23.09.2012,Manchester City,Arsenal,1:01,D,1.75,3.73,4.61
23.09.2012,Newcastle,Norwich,1:00,H,1.71,3.77,4.82
23.09.2012,Tottenham,QPR,2:01,H,1.48,4.21,6.85
22.09.2012,Chelsea,Stoke,1:00,H,1.37,4.61,8.92
22.09.2012,Southampton,Aston Villa,4:01,H,2.28,3.31,3.16
22.09.2012,Swansea,Everton,0:03,A,3.14,3.25,2.33
22.09.2012,West Brom,Reading,1:00,H,1.64,3.82,5.4
22.09.2012,West Ham,Sunderland,1:01,D,2,3.32,3.89
22.09.2012,Wigan,Fulham,1:02,A,2.38,3.27,3
17.09.2012,Everton,Newcastle,2:02,D,1.55,4.01,6.11
16.09.2012,Reading,Tottenham,1:03,A,3.65,3.38,2.04
15.09.2012,Arsenal,Southampton,6:01,H,1.34,4.96,9.19
15.09.2012,Aston Villa,Swansea,2:00,H,2.31,3.24,3.14
15.09.2012,Fulham,West Brom,3:00,H,2.11,3.32,3.52
15.09.2012,Manchester United,Wigan,4:00,H,1.27,5.53,11.41
15.09.2012,Norwich,West Ham,0:00,D,2.42,3.28,2.95
15.09.2012,QPR,Chelsea,0:00,D,4.37,3.5,1.84
15.09.2012,Stoke,Manchester City,1:01,D,5.27,3.63,1.68
15.09.2012,Sunderland,Liverpool,1:01,D,3.5,3.36,2.1
02.09.2012,Liverpool,Arsenal,0:02,A,1.93,3.46,4.06
02.09.2012,Newcastle,Aston Villa,1:01,D,1.65,3.73,5.47
02.09.2012,Southampton,Manchester United,2:03,A,6.64,4.22,1.49
01.09.2012,Manchester City,QPR,3:01,H,1.18,7,14.61
01.09.2012,Swansea,Sunderland,2:02,D,2.03,3.37,3.71
01.09.2012,Tottenham,Norwich,1:01,D,1.36,4.85,8.46
01.09.2012,West Brom,Everton,2:00,H,3.03,3.28,2.37
01.09.2012,West Ham,Fulham,3:00,H,2.53,3.28,2.79
01.09.2012,Wigan,Stoke,2:02,D,2.11,3.25,3.6
26.08.2012,Liverpool,Manchester City,2:02,D,2.89,3.27,2.44
26.08.2012,Stoke,Arsenal,0:00,D,3.21,3.26,2.27
25.08.2012,Aston Villa,Everton,1:03,A,3.25,3.27,2.26
25.08.2012,Chelsea,Newcastle,2:00,H,1.47,4.31,6.91
25.08.2012,Manchester United,Fulham,3:02,H,1.29,5.29,10.83
25.08.2012,Norwich,QPR,1:01,D,2.32,3.34,3.04
25.08.2012,Southampton,Wigan,0:02,A,2.12,3.35,3.45
25.08.2012,Swansea,West Ham,3:00,H,2.12,3.31,3.52
25.08.2012,Tottenham,West Brom,1:01,D,1.57,3.96,6.01
22.08.2012,Chelsea,Reading,4:02,H,1.27,5.47,11.42
20.08.2012,Everton,Manchester United,1:00,H,3.83,3.46,1.97
19.08.2012,Manchester City,Southampton,3:02,H,1.15,7.7,17.94
19.08.2012,Wigan,Chelsea,0:02,A,4.85,3.52,1.76
18.08.2012,Arsenal,Sunderland,0:00,D,1.42,4.4,7.8
18.08.2012,Fulham,Norwich,5:00,H,1.79,3.59,4.53
18.08.2012,Newcastle,Tottenham,2:01,H,2.69,3.28,2.62
18.08.2012,QPR,Swansea,0:05,A,1.95,3.4,3.98
18.08.2012,Reading,Stoke,1:01,D,2.37,3.24,3.05
18.08.2012,West Brom,Liverpool,3:00,H,4.44,3.49,1.83
18.08.2012,West Ham,Aston Villa,1:00,H,2.11,3.37,3.46
